Table Name,State Code,District Code,Area Name,Total/Rural/Urban,Educational Level,Non-Workers - Persons,Non-Workers - Males,Non-Workers - Females,Main Activity Students - Persons,Main Activity Students - Males,Main Activity Students - Females,Main Activity Household Duties - Persons,Main Activity Household Duties - Males,Main Activity Household Duties - Females,Main Activity Dependents - Persons,Main Activity Dependents - Males,Main Activity Dependents - Females,Main Activity Pensioners - Persons,Main Activity Pensioners - Males,Main Activity Pensioners - Females,Main Activity Rentiers - Persons,Main Activity Rentiers - Males,Main Activity Rentiers - Females,"Main Activity Beggars, Vagrants etc. - Persons","Main Activity Beggars, Vagrants etc. - Males","Main Activity Beggars, Vagrants etc. - Females",Main Activity Others - Persons,Main Activity Others - Males,Main Activity Others - Females
B0515,4,0,State - Chandigarh,Urban,Literate but below Matric/Secondary,222281,97145,125136,156181,86975,69206,47116,607,46509,9233,4107,5126,2786,1731,1055,310,196,114,26,23,3,6629,3506,3123
B0515,4,0,State - Chandigarh,Urban,Matric/Secondary but below Graduate,133692,47890,85802,67181,36501,30680,46719,458,46261,4946,2117,2829,5694,4388,1306,378,282,96,9,7,2,8765,4137,4628
B0515,4,0,State - Chandigarh,Urban,Technical Diploma or Certificate not equal to Degree,6209,3709,2500,2787,2099,688,915,21,894,200,110,90,1534,940,594,44,34,10,0,0,0,729,505,224
B0515,4,0,State - Chandigarh,Urban,Graduate and above other than Technical Degree,65754,18393,47361,13432,6011,7421,30881,219,30662,2304,807,1497,10116,7979,2137,394,291,103,5,2,3,8622,3084,5538
B0515,4,0,State - Chandigarh,Urban,Technical Degree or Diploma equal to Degree or Post-Graduate Degree,13841,5625,8216,5273,2945,2328,3685,45,3640,390,161,229,1996,1399,597,59,44,15,0,0,0,2438,1031,1407
B0515,5,0,State - Uttarakhand,Total,Total,6214017,2585852,3628165,2937355,1573084,1364271,1330999,31192,1299807,1466376,707912,758464,207933,130658,77275,5050,2442,2608,3075,2219,856,263229,138345,124884
B0515,5,0,State - Uttarakhand,Total,Illiterate,2261097,861630,1399467,367969,193823,174146,487371,10642,476729,1300247,630044,670203,64389,12523,51866,1466,423,1043,1981,1258,723,37674,12917,24757
B0515,5,0,State - Uttarakhand,Total,Literate,3952920,1724222,2228698,2569386,1379261,1190125,843628,20550,823078,166129,77868,88261,143544,118135,25409,3584,2019,1565,1094,961,133,225555,125428,100127
B0515,5,0,State - Uttarakhand,Total,Literate but below Matric/Secondary,2518076,1149568,1368508,1858296,994130,864166,415279,12265,403014,109571,52962,56609,61570,47363,14207,1555,766,789,675,598,77,71130,41484,29646
B0515,5,0,State - Uttarakhand,Total,Matric/Secondary but below Graduate,934549,405095,529454,552176,298408,253768,234194,5071,229123,29911,13874,16037,49523,44824,4699,1209,735,474,201,182,19,67335,42001,25334
B0515,5,0,State - Uttarakhand,Total,Technical Diploma or Certificate not equal to Degree,16791,12473,4318,11303,8338,2965,755,63,692,424,347,77,1715,1611,104,32,32,0,4,4,0,2558,2078,480
B0515,5,0,State - Uttarakhand,Total,Graduate and above other than Technical Degree,362999,106127,256872,104860,51412,53448,155820,2039,153781,12271,4242,8029,22446,18733,3713,615,382,233,118,101,17,66869,29218,37651
B0515,5,0,State - Uttarakhand,Total,Technical Degree or Diploma equal to Degree or Post-Graduate Degree,48397,26520,21877,24925,16524,8401,7938,221,7717,1250,636,614,3839,3055,784,68,57,11,11,8,3,10366,6019,4347
B0515,5,0,State - Uttarakhand,Rural,Total,4151421,1792368,2359053,2046396,1091718,954678,747572,21877,725695,1056141,510838,545303,145308,87035,58273,1606,839,767,874,573,301,153524,79488,74036
B0515,5,0,State - Uttarakhand,Rural,Illiterate,1628659,622816,1005843,254365,132922,121443,328443,7531,320912,963646,463913,499733,56036,10742,45294,573,183,390,589,326,263,25007,7199,17808
B0515,5,0,State - Uttarakhand,Rural,Literate,2522762,1169552,1353210,1792031,958796,833235,419129,14346,404783,92495,46925,45570,89272,76293,12979,1033,656,377,285,247,38,128517,72289,56228
B0515,5,0,State - Uttarakhand,Rural,Literate but below Matric/Secondary,1774034,831245,942789,1360115,721306,638809,251010,9272,241738,66357,34323,32034,48416,39438,8978,520,312,208,184,160,24,47432,26434,20998
B0515,5,0,State - Uttarakhand,Rural,Matric/Secondary but below Graduate,539870,255274,284596,351234,191956,159278,104632,3417,101215,13622,6965,6657,28850,27174,1676,345,227,118,51,47,4,41136,25488,15648
B0515,5,0,State - Uttarakhand,Rural,Technical Diploma or Certificate not equal to Degree,8201,6344,1857,6330,4927,1403,225,28,197,116,102,14,365,333,32,1,1,0,1,1,0,1163,952,211
B0515,5,0,State - Uttarakhand,Rural,Graduate and above other than Technical Degree,142164,51947,90217,54457,28317,26140,45718,943,44775,3807,1561,2246,7404,6671,733,125,93,32,23,21,2,30630,14341,16289
B0515,5,0,State - Uttarakhand,Rural,Technical Degree or Diploma equal to Degree or Post-Graduate Degree,15595,9458,6137,8565,5874,2691,1791,85,1706,313,192,121,1102,920,182,8,6,2,4,2,2,3812,2379,1433
B0515,5,0,State - Uttarakhand,Urban,Total,2062596,793484,1269112,890959,481366,409593,583427,9315,574112,410235,197074,213161,62625,43623,19002,3444,1603,1841,2201,1646,555,109705,58857,50848
B0515,5,0,State - Uttarakhand,Urban,Illiterate,632438,238814,393624,113604,60901,52703,158928,3111,155817,336601,166131,170470,8353,1781,6572,893,240,653,1392,932,460,12667,5718,6949
B0515,5,0,State - Uttarakhand,Urban,Literate,1430158,554670,875488,777355,420465,356890,424499,6204,418295,73634,30943,42691,54272,41842,12430,2551,1363,1188,809,714,95,97038,53139,43899
B0515,5,0,State - Uttarakhand,Urban,Literate but below Matric/Secondary,744042,318323,425719,498181,272824,225357,164269,2993,161276,43214,18639,24575,13154,7925,5229,1035,454,581,491,438,53,23698,15050,8648
B0515,5,0,State - Uttarakhand,Urban,Matric/Secondary but below Graduate,394679,149821,244858,200942,106452,94490,129562,1654,127908,16289,6909,9380,20673,17650,3023,864,508,356,150,135,15,26199,16513,9686
B0515,5,0,State - Uttarakhand,Urban,Technical Diploma or Certificate not equal to Degree,8590,6129,2461,4973,3411,1562,530,35,495,308,245,63,1350,1278,72,31,31,0,3,3,0,1395,1126,269
B0515,5,0,State - Uttarakhand,Urban,Graduate and above other than Technical Degree,220835,54180,166655,50403,23095,27308,110102,1096,109006,8464,2681,5783,15042,12062,2980,490,289,201,95,80,15,36239,14877,21362
B0515,5,0,State - Uttarakhand,Urban,Technical Degree or Diploma equal to Degree or Post-Graduate Degree,32802,17062,15740,16360,10650,5710,6147,136,6011,937,444,493,2737,2135,602,60,51,9,7,6,1,6554,3640,2914
B0515,6,0,State - Haryana,Total,Total,16434954,6688098,9746856,7034772,3970281,3064491,4219694,112608,4107086,3688106,1859054,1829052,726885,367732,359153,11221,6393,4828,7971,5931,2040,746305,366099,380206
B0515,6,0,State - Haryana,Total,Illiterate,6473678,2392833,4080845,918469,503250,415219,1683351,45229,1638122,3295081,1658549,1636532,416765,129887,286878,3962,1547,2415,6043,4225,1818,150007,50146,99861
B0515,6,0,State - Haryana,Total,Literate,9961276,4295265,5666011,6116303,3467031,2649272,2536343,67379,2468964,393025,200505,192520,310120,237845,72275,7259,4846,2413,1928,1706,222,596298,315953,280345
B0515,6,0,State - Haryana,Total,Literate but below Matric/Secondary,6117931,2750643,3367288,4310135,2418934,1891201,1265459,33642,1231817,232300,119108,113192,114849,78313,36536,2970,1776,1194,1319,1198,121,190899,97672,93227
B0515,6,0,State - Haryana,Total,Matric/Secondary but below Graduate,2701822,1137821,1564001,1453471,842145,611326,826101,21759,804342,93095,49875,43220,104815,91582,13233,2783,2035,748,318,282,36,221239,130143,91096
B0515,6,0,State - Haryana,Total,Technical Diploma or Certificate not equal to Degree,101997,67222,34775,63280,46598,16682,9017,497,8520,2343,1520,823,15281,10201,5080,130,100,30,9,7,2,11937,8299,3638
B0515,6,0,State - Haryana,Total,Graduate and above other than Technical Degree,663267,200024,463243,174580,90020,84560,292955,6580,286375,26563,10589,15974,46760,39201,7559,973,702,271,62,47,15,121374,52885,68489
B0515,6,0,State - Haryana,Total,Technical Degree or Diploma equal to Degree or Post-Graduate Degree,156231,72662,83569,75971,46163,29808,34879,1012,33867,4257,2068,2189,11666,9371,2295,131,99,32,7,6,1,29320,13943,15377
B0515,6,0,State - Haryana,Rural,Total,10506247,4381792,6124455,4551886,2589249,1962637,2491800,68050,2423750,2502390,1272253,1230137,510840,241493,269347,3481,1927,1554,3633,2806,827,442217,206014,236203
B0515,6,0,State - Haryana,Rural,Illiterate,4527847,1648082,2879765,565743,310334,255409,1189562,30025,1159537,2310922,1162121,1148801,353005,112415,240590,1835,774,1061,2765,2008,757,104015,30405,73610
B0515,6,0,State - Haryana,Rural,Literate,5978400,2733710,3244690,3986143,2278915,1707228,1302238,38025,1264213,191468,110132,81336,157835,129078,28757,1646,1153,493,868,798,70,338202,175609,162593
B0515,6,0,State - Haryana,Rural,Literate but below Matric/Secondary,4071895,1861403,2210492,2937954,1648734,1289220,800924,22163,778761,129486,73093,56393,76193,57370,18823,930,588,342,651,601,50,125757,58854,66903
B0515,6,0,State - Haryana,Rural,Matric/Secondary but below Graduate,1495031,688710,806321,883972,526204,357768,384381,11566,372815,37674,23465,14209,54551,50804,3747,534,426,108,130,123,7,133789,76122,57667
B0515,6,0,State - Haryana,Rural,Technical Diploma or Certificate not equal to Degree,56619,41548,15071,41413,31378,10035,2406,234,2172,648,511,137,5174,4454,720,17,15,2,3,3,0,6958,4953,2005
B0515,6,0,State - Haryana,Rural,Graduate and above other than Technical Degree,189500,78949,110551,75066,42412,32654,51528,1632,49896,4400,2673,1727,8903,8464,439,87,79,8,17,16,1,49499,23673,25826
B0515,6,0,State - Haryana,Rural,Technical Degree or Diploma equal to Degree or Post-Graduate Degree,43834,24369,19465,25210,16739,8471,5508,200,5308,614,373,241,2069,1931,138,10,7,3,1,1,0,10422,5118,5304
B0515,6,0,State - Haryana,Urban,Total,5928707,2306306,3622401,2482886,1381032,1101854,1727894,44558,1683336,1185716,586801,598915,216045,126239,89806,7740,4466,3274,4338,3125,1213,304088,160085,144003
B0515,6,0,State - Haryana,Urban,Illiterate,1945831,744751,1201080,352726,192916,159810,493789,15204,478585,984159,496428,487731,63760,17472,46288,2127,773,1354,3278,2217,1061,45992,19741,26251
B0515,6,0,State - Haryana,Urban,Literate,3982876,1561555,2421321,2130160,1188116,942044,1234105,29354,1204751,201557,90373,111184,152285,108767,43518,5613,3693,1920,1060,908,152,258096,140344,117752
B0515,6,0,State - Haryana,Urban,Literate but below Matric/Secondary,2046036,889240,1156796,1372181,770200,601981,464535,11479,453056,102814,46015,56799,38656,20943,17713,2040,1188,852,668,597,71,65142,38818,26324
B0515,6,0,State - Haryana,Urban,Matric/Secondary but below Graduate,1206791,449111,757680,569499,315941,253558,441720,10193,431527,55421,26410,29011,50264,40778,9486,2249,1609,640,188,159,29,87450,54021,33429
B0515,6,0,State - Haryana,Urban,Technical Diploma or Certificate not equal to Degree,45378,25674,19704,21867,15220,6647,6611,263,6348,1695,1009,686,10107,5747,4360,113,85,28,6,4,2,4979,3346,1633
B0515,6,0,State - Haryana,Urban,Graduate and above other than Technical Degree,473767,121075,352692,99514,47608,51906,241427,4948,236479,22163,7916,14247,37857,30737,7120,886,623,263,45,31,14,71875,29212,42663
B0515,6,0,State - Haryana,Urban,Technical Degree or Diploma equal to Degree or Post-Graduate Degree,112397,48293,64104,50761,29424,21337,29371,812,28559,3643,1695,1948,9597,7440,2157,121,92,29,6,5,1,18898,8825,10073
B0515,7,0,State - NCT of Delhi,Total,Total,11200892,4225300,6975592,4693237,2559065,2134172,3372327,42062,3330265,2315322,1127290,1188032,283037,198410,84627,27255,16057,11198,2073,1271,802,507641,281145,226496
B0515,7,0,State - NCT of Delhi,Total,Illiterate,3362445,1279857,2082588,552220,298069,254151,835378,13568,821810,1863274,925578,937696,41692,13217,28475,6515,2110,4405,1533,882,651,61833,26433,35400
B0515,7,0,State - NCT of Delhi,Total,Literate,7838447,2945443,4893004,4141017,2260996,1880021,2536949,28494,2508455,452048,201712,250336,241345,185193,56152,20740,13947,6793,540,389,151,445808,254712,191096
B0515,7,0,State - NCT of Delhi,Total,Literate but below Matric/Secondary,4170149,1771482,2398667,2803007,1529832,1273175,931951,12423,919528,241988,106024,135964,43685,28314,15371,7387,4433,2954,329,243,86,141802,90213,51589
B0515,7,0,State - NCT of Delhi,Total,Matric/Secondary but below Graduate,2202087,772016,1430071,1006391,549979,456412,849495,8990,840505,122856,58159,64697,75059,61982,13077,8047,5858,2189,99,74,25,140140,86974,53166
B0515,7,0,State - NCT of Delhi,Total,Technical Diploma or Certificate not equal to Degree,39791,20435,19356,19612,11539,8073,6721,163,6558,1729,1008,721,6831,4851,1980,147,116,31,2,2,0,4749,2756,1993
B0515,7,0,State - NCT of Delhi,Total,Graduate and above other than Technical Degree,1043554,256916,786638,216797,110469,106328,570589,4597,565992,49216,19845,29371,87814,69503,18311,3740,2591,1149,36,20,16,115362,49891,65471
B0515,7,0,State - NCT of Delhi,Total,Technical Degree or Diploma equal to Degree or Post-Graduate Degree,135832,62952,72880,55480,36091,19389,37448,512,36936,4917,2482,2435,17411,13151,4260,373,287,86,8,5,3,20195,10424,9771
B0515,7,0,State - NCT of Delhi,Rural,Total,288815,114821,173994,122195,68754,53441,81375,1535,79840,61460,31344,30116,7290,4866,2424,238,162,76,19,13,6,16238,8147,8091
B0515,7,0,State - NCT of Delhi,Rural,Illiterate,100435,37593,62842,14310,7911,6399,26765,526,26239,54328,27670,26658,2489,764,1725,65,25,40,14,9,5,2464,688,1776
B0515,7,0,State - NCT of Delhi,Rural,Literate,188380,77228,111152,107885,60843,47042,54610,1009,53601,7132,3674,3458,4801,4102,699,173,137,36,5,4,1,13774,7459,6315
B0515,7,0,State - NCT of Delhi,Rural,Literate but below Matric/Secondary,113769,50133,63636,77887,43767,34120,25288,484,24804,4368,2174,2194,1535,1161,374,57,39,18,3,2,1,4631,2506,2125
B0515,7,0,State - NCT of Delhi,Rural,Matric/Secondary but below Graduate,55955,20837,35118,24481,13964,10517,21747,404,21343,1836,1025,811,2219,2027,192,83,68,15,0,0,0,5589,3349,2240
B0515,7,0,State - NCT of Delhi,Rural,Technical Diploma or Certificate not equal to Degree,1610,785,825,1005,563,442,194,5,189,30,18,12,83,54,29,1,1,0,0,0,0,297,144,153
B0515,7,0,State - NCT of Delhi,Rural,Graduate and above other than Technical Degree,11051,3546,7505,3117,1690,1427,4544,67,4477,339,184,155,671,617,54,25,23,2,0,0,0,2355,965,1390
B0515,7,0,State - NCT of Delhi,Rural,Technical Degree or Diploma equal to Degree or Post-Graduate Degree,1351,637,714,620,400,220,279,5,274,26,11,15,77,71,6,1,1,0,0,0,0,348,149,199
B0515,7,0,State - NCT of Delhi,Urban,Total,10912077,4110479,6801598,4571042,2490311,2080731,3290952,40527,3250425,2253862,1095946,1157916,275747,193544,82203,27017,15895,11122,2054,1258,796,491403,272998,218405
B0515,7,0,State - NCT of Delhi,Urban,Illiterate,3262010,1242264,2019746,537910,290158,247752,808613,13042,795571,1808946,897908,911038,39203,12453,26750,6450,2085,4365,1519,873,646,59369,25745,33624
B0515,7,0,State - NCT of Delhi,Urban,Literate,7650067,2868215,4781852,4033132,2200153,1832979,2482339,27485,2454854,444916,198038,246878,236544,181091,55453,20567,13810,6757,535,385,150,432034,247253,184781
B0515,7,0,State - NCT of Delhi,Urban,Literate but below Matric/Secondary,4056380,1721349,2335031,2725120,1486065,1239055,906663,11939,894724,237620,103850,133770,42150,27153,14997,7330,4394,2936,326,241,85,137171,87707,49464
B0515,7,0,State - NCT of Delhi,Urban,Matric/Secondary but below Graduate,2146132,751179,1394953,981910,536015,445895,827748,8586,819162,121020,57134,63886,72840,59955,12885,7964,5790,2174,99,74,25,134551,83625,50926
B0515,7,0,State - NCT of Delhi,Urban,Technical Diploma or Certificate not equal to Degree,38181,19650,18531,18607,10976,7631,6527,158,6369,1699,990,709,6748,4797,1951,146,115,31,2,2,0,4452,2612,1840
B0515,7,0,State - NCT of Delhi,Urban,Graduate and above other than Technical Degree,1032503,253370,779133,213680,108779,104901,566045,4530,561515,48877,19661,29216,87143,68886,18257,3715,2568,1147,36,20,16,113007,48926,64081
B0515,7,0,State - NCT of Delhi,Urban,Technical Degree or Diploma equal to Degree or Post-Graduate Degree,134481,62315,72166,54860,35691,19169,37169,507,36662,4891,2471,2420,17334,13080,4254,372,286,86,8,5,3,19847,10275,9572
B0515,8,0,State - Rajasthan,Total,Total,38662182,17253921,21408261,17398354,9929542,7468812,6565679,205460,6360219,12822217,6143975,6678242,445013,300825,144188,21573,11360,10213,22548,13307,9241,1386798,649452,737346
B0515,8,0,State - Rajasthan,Total,Illiterate,17592510,7082375,10510135,2232173,1188579,1043594,2960513,98704,2861809,11811405,5630092,6181313,138057,40194,97863,10628,4071,6557,19014,10300,8714,420720,110435,310285
B0515,8,0,State - Rajasthan,Total,Literate,21069672,10171546,10898126,15166181,8740963,6425218,3605166,106756,3498410,1010812,513883,496929,306956,260631,46325,10945,7289,3656,3534,3007,527,966078,539017,427061
B0515,8,0,State - Rajasthan,Total,Literate but below Matric/Secondary,15380866,7424819,7956047,11937063,6698563,5238500,2188900,71903,2116997,723470,361683,361787,97469,75405,22064,6035,3724,2311,2557,2227,330,425372,211314,214058
B0515,8,0,State - Rajasthan,Total,Matric/Secondary but below Graduate,3691202,1913424,1777778,2574895,1623773,951122,714036,15396,698640,98540,54395,44145,97477,89006,8471,2644,2015,629,313,272,41,203297,128567,74730
B0515,8,0,State - Rajasthan,Total,Technical Diploma or Certificate not equal to Degree,80141,60090,20051,56953,44108,12845,3561,278,3283,1248,940,308,7579,6556,1023,51,41,10,5,4,1,10744,8163,2581
B0515,8,0,State - Rajasthan,Total,Graduate and above other than Technical Degree,974548,374189,600359,309907,191105,118802,378816,6676,372140,32711,14912,17799,66473,58821,7652,1144,867,277,86,72,14,185411,101736,83675
B0515,8,0,State - Rajasthan,Total,Technical Degree or Diploma equal to Degree or Post-Graduate Degree,208970,118673,90297,93024,61750,31274,31992,1178,30814,4839,2716,2123,16816,14885,1931,126,108,18,13,9,4,62160,38027,24133
B0515,8,0,State - Rajasthan,Rural,Total,27115119,12866278,14248841,12627353,7305605,5321748,3219552,136170,3083382,10161159,4884454,5276705,214981,133039,81942,8819,4739,4080,14322,8251,6071,868933,394020,474913
B0515,8,0,State - Rajasthan,Rural,Illiterate,13401245,5587429,7813816,1593948,848435,745513,1812547,69789,1742758,9559144,4553152,5005992,101585,29873,71712,6083,2664,3419,12305,6481,5824,315633,77035,238598
B0515,8,0,State - Rajasthan,Rural,Literate,13713874,7278849,6435025,11033405,6457170,4576235,1407005,66381,1340624,602015,331302,270713,113396,103166,10230,2736,2075,661,2017,1770,247,553300,316985,236315
B0515,8,0,State - Rajasthan,Rural,Literate but below Matric/Secondary,10940890,5632296,5308594,9110974,5156107,3954867,1040397,49942,990455,457126,246259,210867,49900,43124,6776,1840,1335,505,1535,1380,155,279118,134149,144969
B0515,8,0,State - Rajasthan,Rural,Matric/Secondary but below Graduate,1953407,1198586,754821,1583196,1062489,520707,189191,6943,182248,34451,22532,11919,35283,34243,1040,473,419,54,143,129,14,110670,71831,38839
B0515,8,0,State - Rajasthan,Rural,Technical Diploma or Certificate not equal to Degree,45981,36389,9592,35733,28543,7190,885,128,757,433,345,88,2512,2408,104,5,3,2,3,3,0,6410,4959,1451
B0515,8,0,State - Rajasthan,Rural,Graduate and above other than Technical Degree,270075,165126,104949,132081,97379,34702,44990,1735,43255,6054,4057,1997,12290,11970,320,124,112,12,29,27,2,74507,49846,24661
B0515,8,0,State - Rajasthan,Rural,Technical Degree or Diploma equal to Degree or Post-Graduate Degree,77752,53497,24255,34856,26002,8854,5888,472,5416,1323,966,357,4146,4045,101,18,18,0,4,3,1,31517,21991,9526
B0515,8,0,State - Rajasthan,Urban,Total,11547063,4387643,7159420,4771001,2623937,2147064,3346127,69290,3276837,2661058,1259521,1401537,230032,167786,62246,12754,6621,6133,8226,5056,3170,517865,255432,262433
B0515,8,0,State - Rajasthan,Urban,Illiterate,4191265,1494946,2696319,638225,340144,298081,1147966,28915,1119051,2252261,1076940,1175321,36472,10321,26151,4545,1407,3138,6709,3819,2890,105087,33400,71687
B0515,8,0,State - Rajasthan,Urban,Literate,7355798,2892697,4463101,4132776,2283793,1848983,2198161,40375,2157786,408797,182581,226216,193560,157465,36095,8209,5214,2995,1517,1237,280,412778,222032,190746
B0515,8,0,State - Rajasthan,Urban,Literate but below Matric/Secondary,4439976,1792523,2647453,2826089,1542456,1283633,1148503,21961,1126542,266344,115424,150920,47569,32281,15288,4195,2389,1806,1022,847,175,146254,77165,69089
B0515,8,0,State - Rajasthan,Urban,Matric/Secondary but below Graduate,1737795,714838,1022957,991699,561284,430415,524845,8453,516392,64089,31863,32226,62194,54763,7431,2171,1596,575,170,143,27,92627,56736,35891
B0515,8,0,State - Rajasthan,Urban,Technical Diploma or Certificate not equal to Degree,34160,23701,10459,21220,15565,5655,2676,150,2526,815,595,220,5067,4148,919,46,38,8,2,1,1,4334,3204,1130
B0515,8,0,State - Rajasthan,Urban,Graduate and above other than Technical Degree,704473,209063,495410,177826,93726,84100,333826,4941,328885,26657,10855,15802,54183,46851,7332,1020,755,265,57,45,12,110904,51890,59014
B0515,8,0,State - Rajasthan,Urban,Technical Degree or Diploma equal to Degree or Post-Graduate Degree,131218,65176,66042,58168,35748,22420,26104,706,25398,3516,1750,1766,12670,10840,1830,108,90,18,9,6,3,30643,16036,14607
B0515,9,0,State - Uttar Pradesh,Total,Total,133997626,54633748,79363878,55658351,30116066,25542285,32747519,1493888,31253631,38616445,18857563,19758882,1224798,689504,535294,53352,27260,26092,57038,35945,21093,5640123,3413522,2226601
B0515,9,0,State - Uttar Pradesh,Total,Illiterate,61490935,21857025,39633910,7163062,3683636,3479426,17935996,653503,17282493,33981899,16551958,17429941,535702,150721,384981,25864,10289,15575,44575,25720,18855,1803837,781198,1022639
B0515,9,0,State - Uttar Pradesh,Total,Literate,72506691,32776723,39729968,48495289,26432430,22062859,14811523,840385,13971138,4634546,2305605,2328941,689096,538783,150313,27488,16971,10517,12463,10225,2238,3836286,2632324,1203962
B0515,9,0,State - Uttar Pradesh,Total,Literate but below Matric/Secondary,50589097,23383144,27205953,37444259,20173503,17270756,8308104,481705,7826399,2991500,1491929,1499571,209304,136322,72982,12235,6843,5392,8398,7059,1339,1615297,1085783,529514
B0515,9,0,State - Uttar Pradesh,Total,Matric/Secondary but below Graduate,14503211,6463832,8039379,8849253,4928726,3920527,3578864,193995,3384869,718311,345522,372789,240411,206155,34256,8209,5552,2657,1708,1412,296,1106455,782470,323985
B0515,9,0,State - Uttar Pradesh,Total,Technical Diploma or Certificate not equal to Degree,85039,69895,15144,58045,49325,8720,5120,891,4229,2853,2265,588,7367,7018,349,96,87,9,9,9,0,11549,10300,1249
B0515,9,0,State - Uttar Pradesh,Total,Graduate and above other than Technical Degree,3954080,1449367,2504713,1234359,717084,517275,1633945,67791,1566154,256981,105264,151717,152104,130301,21803,4028,2714,1314,507,384,123,672156,425829,246327
B0515,9,0,State - Uttar Pradesh,Total,Technical Degree or Diploma equal to Degree or Post-Graduate Degree,424218,253800,170418,208998,148538,60460,79325,5506,73819,19943,11408,8535,29745,26089,3656,412,325,87,51,36,15,85744,61898,23846
B0515,9,0,State - Uttar Pradesh,Rural,Total,103366298,42640116,60726182,43491276,23606185,19885091,24429004,1238275,23190729,30559199,15013107,15546092,821051,413653,407398,24592,12936,11656,39483,24521,14962,4001693,2331439,1670254
B0515,9,0,State - Uttar Pradesh,Rural,Illiterate,49583526,17416022,32167504,5460280,2793836,2666444,14721398,538582,14182816,27479607,13380284,14099323,467024,131566,335458,15318,6553,8765,31674,17915,13759,1408225,547286,860939
B0515,9,0,State - Uttar Pradesh,Rural,Literate,53782772,25224094,28558678,38030996,20812349,17218647,9707606,699693,9007913,3079592,1632823,1446769,354027,282087,71940,9274,6383,2891,7809,6606,1203,2593468,1784153,809315
B0515,9,0,State - Uttar Pradesh,Rural,Literate but below Matric/Secondary,40311330,18897284,21414046,30514794,16445099,14069695,6268361,419723,5848638,2144766,1114130,1030636,142431,98104,44327,5063,3235,1828,5586,4786,800,1230329,812207,418122
B0515,9,0,State - Uttar Pradesh,Rural,Matric/Secondary but below Graduate,9562588,4558166,5004422,6218015,3537681,2680334,2070921,158186,1912735,394437,215406,179031,125526,112613,12913,2328,1809,519,973,859,114,750388,531612,218776
B0515,9,0,State - Uttar Pradesh,Rural,Technical Diploma or Certificate not equal to Degree,46955,41641,5314,36466,33002,3464,1764,591,1173,1070,915,155,1730,1658,72,16,16,0,2,2,0,5907,5457,450
B0515,9,0,State - Uttar Pradesh,Rural,Graduate and above other than Technical Degree,1691714,795788,895926,665425,427169,238256,548407,45926,502481,90395,49329,41066,44806,41364,3442,812,650,162,192,172,20,341677,231178,110499
B0515,9,0,State - Uttar Pradesh,Rural,Technical Degree or Diploma equal to Degree or Post-Graduate Degree,149951,108363,41588,79888,63901,15987,19034,3125,15909,5537,4121,1416,10321,9655,666,99,87,12,18,17,1,35054,27457,7597
B0515,9,0,State - Uttar Pradesh,Urban,Total,30631328,11993632,18637696,12167075,6509881,5657194,8318515,255613,8062902,8057246,3844456,4212790,403747,275851,127896,28760,14324,14436,17555,11424,6131,1638430,1082083,556347
